T_mu,σ,ω₀,n_B,P,ϵ
"(98.8235294117647, 538.9971164872729)",89.210432074142,1.9552371637180446,0.022206940868680622,2.091761034301491,9.877716059920742
"(99.83193277310924, 538.9971164872729)",89.01906696124666,2.077716834109452,0.023598024546462697,2.244098886143026,10.475168299196255
"(100.84033613445378, 538.9971164872729)",88.82211982622637,2.2055395111391576,0.025049792539205282,2.4049009219844355,11.096865025251615
"(101.84873949579831, 538.9971164872729)",88.6195471337397,2.3388127734385376,0.026563466403341222,2.574478871828338,11.743152923479133
"(102.85714285714285, 538.9971164872729)",88.41130312454621,2.4776416740304086,0.02814023938760873,2.753148799705194,12.414359087477497
"(103.8655462184874, 538.9971164872729)",88.19733992975223,2.622128720800478,0.029781275726953424,2.941230980883218,13.11079076125709
"(104.87394957983193, 538.9971164872729)",87.97760746140048,2.772373853055372,0.03148771052954108,3.1390497854083685,13.832735394800217
"(105.88235294117646, 538.9971164872729)",87.75205343584823,2.9284744352938166,0.03326064960899417,3.3469335683791677,14.580460663362233
"(106.89075630252101, 538.9971164872729)",87.52062343229912,3.090525246537417,0.03510116943411627,3.5652145670848254,15.354214543235045
"(107.89915966386555, 538.9971164872729)",87.2832610467591,3.258618472910081,0.037010317021661764,3.7942288047806376,16.154225350174887
"(108.90756302521008, 538.9971164872729)",87.03990801852447,3.4328437090089032,0.03898910997878051,4.034316000870661,16.980701852097187
"(109.91596638655462, 538.9971164872729)",86.7905048519914,3.6132878905623698,0.041038535624203766,4.285819486593941,17.833832879712116
"(110.92436974789916, 538.9971164872729)",86.53499152290142,3.800035176130515,0.0431595498903234,4.5490861252352115,18.713786814537695
"(111.9327731092437, 538.9971164872729)",86.2733063176535,3.9931672005760253,0.04535307991603847,4.824466235482947,19.62071306307864
"(112.94117647058823, 538.9971164872729)",86.00538917894112,4.192762479486241,0.04762001745918615,5.112313515921644,20.554738581653282
"(113.94957983193277, 538.9971164872729)",85.7311804522819,4.398896633083809,0.04996122138266866,5.4129849685450235,21.51596929289567
"(114.95798319327731, 538.9971164872729)",85.45062291497499,4.611641988762029,0.05237751314937845,5.726840818411905,22.504487737877298
